Why does Kailath introduce state variables?	To describe system behavior using a finite-dimensional internal representation that evolves in time and determines future behavior.	Differential equations describe input–output behavior, not internal structure.	2	2.1	ch2 core definition motivation	
What problem with differential equations does the state-space model address?	Differential equations do not explicitly represent internal system memory or structure; state-space models do.	Many different internal systems can share the same differential equation.	2	2.1	ch2 core contrast modeling	
What is Kailath’s definition of the state?	A minimal set of variables whose value at time t0, together with the input for t ≥ t0, uniquely determines the system’s future behavior.	“Minimal” here is conceptual, not yet algebraic minimality.	2	2.2	ch2 core definition state	
What is the standard continuous-time linear state equation?	ẋ(t) = A x(t) + B u(t)	Linearity is with respect to both state and input.	2	2.2	ch2 core equation form	
What is the output equation in a standard state-space model?	y(t) = C x(t) + D u(t)	The output is a linear function of the state and input.	2	2.2	ch2 core equation output	
Why is the state usually not directly measurable?	Because the state is a mathematical construct; only the output is constrained by measurement.	State variables are chosen for convenience and structure.	2	2.2	ch2 core intuition state	
What does linearity of a state-space system mean?	The system obeys superposition with respect to both initial conditions and inputs.	This is stronger than linearity of an input–output differential equation alone.	2	2.3	ch2 core linearity	
What does time invariance mean in state-space form?	The matrices A, B, C, D do not depend explicitly on time.	Time shifts of inputs produce time-shifted outputs.	2	2.3	ch2 core time-invariance	
How does the solution of a linear state equation decompose?	Into (i) a homogeneous (free) response due to the initial state, and (ii) a forced response due to the input.	This decomposition is linear.	2	2.4	ch2 core solutions structure	
What object propagates the state in time for zero input?	The state transition matrix Φ(t) = e^{At}.	It captures internal dynamics of the system.	2	2.4	ch2 core state-transition	
Over what field is the solution space of a linear state equation a vector space?	Over the field of real or complex numbers, depending on whether real or complex-valued signals are admitted.	Linearity holds with respect to initial conditions and inputs.	2	2.4	ch2 core algebra vector-space	
Why does the solution set form a vector space (conceptually)?	Because the governing equations are linear in the unknown functions and the forcing/input.	This is independent of physical interpretation.	2	2.4	ch2 core algebra	
What is a state transformation?	An invertible change of variables x = T z where T is nonsingular.	This changes representation, not behavior.	2	2.5	ch2 core transformation	
How do the system matrices transform under x = T z?	A' = T^{-1} A T,  B' = T^{-1} B,  C' = C T,  D' = D.	A is similar to A'.	2	2.5	ch2 core similarity	
What properties are invariant under state transformations?	Input–output behavior (transfer function) and internal dynamics up to similarity.	Coordinates are not invariant; eigenvalues of A are.	2	2.5	ch2 core invariants	
Why is the state representation not unique?	Because infinitely many similarity-related realizations represent the same input–output behavior.	This leads to canonical forms later.	2	2.5	ch2 core non-uniqueness	
Why is a differential equation not the same as a realization?	A differential equation specifies input–output behavior, while a realization specifies an internal state structure.	Many realizations can correspond to the same differential equation.	2	2.6	ch2 core pitfall realization	
Why is it wrong to think the state is always “the output of integrators”?	State variables need not correspond to physical integrators or stored energy in general.	This misconception causes trouble when mapping abstract systems to networks.	2	2.6	ch2 core pitfall intuition	
Which Chapter 2 concept underpins controllability later?	The idea that the state captures the system’s internal degrees of freedom.	Controllability asks whether inputs can move the state.	2	2.7	ch2 core forward controllability	
Which Chapter 2 idea is essential for minimality later?	Equivalence under similarity transformations.	Minimality is defined over equivalence classes of realizations.	2	2.7	ch2 core forward minimality	
In passive RLC networks, what does the state typically correspond to?	Energy storage variables (inductor currents and capacitor voltages), up to linear transformation.	This is a special case of the general state concept.	2	2.x	ch2 pr-link energy-storage	
Why does Kailath’s definition of state not assume energy storage?	Because state is an abstract dynamical construct; energy interpretation is model-dependent.	Important when comparing general LTI systems with passive networks.	2	2.x	ch2 pr-link abstraction	
In a one-port immittance model, what plays the role of input and output?	Input: current or voltage. Output: the conjugate terminal variable (voltage or current).	This maps immittance to state-space I/O form.	2	2.x	ch2 pr-link one-port	
Why is an immittance description inherently input–output?	Because it eliminates internal variables and retains only terminal behavior.	State-space reintroduces internal structure.	2	2.x	ch2 pr-link input-output	
Why do multiple RLC networks realize the same immittance?	Because many state-space realizations are equivalent under similarity transformations.	Non-uniqueness of internal structure is expected.	2	2.x	ch2 pr-link non-uniqueness	
What does a change of state coordinates correspond to in network terms?	A redistribution/reinterpretation of internal variables without changing terminal behavior.	E.g., changing loop-current or node-voltage coordinates.	2	2.x	ch2 pr-link coordinates	
What does minimality mean in state-space terms?	The realization has the smallest possible state dimension for the given input–output behavior.	Purely algebraic in general.	2	2.x	ch2 pr-link minimality	
What does minimality correspond to in passive network synthesis?	The smallest number of energy storage elements (L and C) in any realization.	Subject to PR/passivity constraints.	2	2.x	ch2 pr-link network-minimality	
Why does similarity equivalence not imply identical network topology?	Because similarity preserves behavior, not physical interconnection.	Topology carries extra structure beyond state equivalence.	2	2.x	ch2 pr-link topology	
What additional constraints distinguish ladder realizations from general realizations?	Structural constraints on A, B, C (e.g., Jacobi/tridiagonal A with end-point port coupling).	Not imposed in Chapter 2.	2	2.x	ch2 pr-link ladder	
Why can a minimal realization still fail to be passively realizable?	Because minimality alone does not enforce positive-realness/passivity constraints.	PR adds inequalities beyond rank conditions.	2	2.x	ch2 pr-link positive-real	
What extra structure must a realization have to correspond to a passive RLC network?	A compatible storage function (energy) and dissipation structure.	Port-Hamiltonian/PR theory formalizes this.	2	2.x	ch2 pr-link passivity	
Why does Brune synthesis extract sections iteratively?	Because not all PR systems admit a ladder (Jacobi) realization directly.	Brune steps handle the non-ladder part.	2	2.x	ch2 pr-link brune	
How does equivalence of realizations explain multiple Brune realizations?	Different synthesis paths produce different but equivalent internal realizations.	Non-uniqueness persists under synthesis choices.	2	2.x	ch2 pr-link brune-equivalence	
Why is Kailath’s abstract state concept essential for understanding PR synthesis?	Because PR synthesis is about choosing a realization with additional structural constraints.	State-space defines the universe; PR selects an admissible subset.	2	2.x	ch2 pr-link big-picture	
What is the key limitation of immittance-only reasoning in synthesis?	It hides internal structure needed to enforce passivity constructively.	State-space exposes that structure.	2	2.x	ch2 pr-link structure	
⚠️ Why is it dangerous to assume every state variable corresponds to stored energy?	Because state is an abstract dynamical variable; only passive realizations admit an energy interpretation.	Kailath’s theory applies to systems without physical storage.	2	danger	ch2 danger pr-link	
⚠️ When is the “state = inductor currents & capacitor voltages” intuition valid?	Only for passive RLC realizations, and even then only up to linear transformation.	It is a special realization, not a general truth.	2	danger	ch2 danger pr-link	
⚠️ Why is it wrong to think a differential equation defines the state?	Because a differential equation specifies behavior, not internal structure.	Many inequivalent realizations correspond to the same equation.	2	danger	ch2 danger	
⚠️ What is lost when moving from state-space to an immittance description?	Information about internal structure and energy flow.	Immittance is input–output only.	2	danger	ch2 danger pr-link	
⚠️ Why does minimal state dimension not guarantee a minimal passive network?	Because algebraic minimality ignores positivity/passivity constraints.	PR realizability adds inequalities beyond rank conditions.	2	danger	ch2 danger pr-link minimality	
⚠️ What mistake arises from equating McMillan degree with element count?	Not all states correspond one-to-one with physical storage elements in an arbitrary realization.	Synthesis imposes additional structure.	2	danger	ch2 danger pr-link	
⚠️ Why does similarity equivalence not preserve network topology?	Topology encodes physical interconnection, not just transfer behavior.	Similarity preserves I/O behavior, not graphs.	2	danger	ch2 danger pr-link	
⚠️ Why is “changing state coordinates” not benign in synthesis?	Because it can destroy passivity/ladder-realizability by wrecking structural constraints.	Jacobi/ABQ structure is not similarity-invariant.	2	danger	ch2 danger pr-link	
⚠️ Why is assuming a Jacobi (ladder) realization dangerous?	Because not all PR systems admit Jacobi structure; some require Brune sections.	Ladders are a restricted subclass.	2	danger	ch2 danger pr-link jacobi	
⚠️ What incorrect inference arises from “A is tridiagonal”?	That the system must be ladder-realizable and passive.	Tridiagonal structure alone is insufficient.	2	danger	ch2 danger pr-link	
⚠️ Why is it dangerous to treat all linear-system structures as vector spaces?	Some structures are naturally modules over rings, not vector spaces over fields.	This matters in factorization and realization theory.	2	danger	ch2 danger algebra modules	
